Season,TeamName,BoxscoreIndex
2011,Golden State Warriors,201102050GSW
2011,Golden State Warriors,201102070GSW
2011,Golden State Warriors,201102090GSW
2011,Golden State Warriors,201102100PHO
2011,Golden State Warriors,201102130GSW
2011,Golden State Warriors,201102150GSW
2011,Golden State Warriors,201102160UTA
2011,Golden State Warriors,201102220GSW
2011,Golden State Warriors,201102250GSW
2011,Golden State Warriors,201102270MIN
2011,Golden State Warriors,201103010IND
2011,Golden State Warriors,201103020WAS
2011,Golden State Warriors,201103040BOS
2011,Golden State Warriors,201103060PHI
2011,Golden State Warriors,201103080CLE
2011,Golden State Warriors,201103090NJN
2011,Golden State Warriors,201103110GSW
2011,Golden State Warriors,201103130GSW
2011,Golden State Warriors,201103140SAC
2011,Golden State Warriors,201103160GSW
2011,Golden State Warriors,201103180PHO
2011,Golden State Warriors,201103200DAL
2011,Golden State Warriors,201103210SAS
2011,Golden State Warriors,201103230HOU
2011,Golden State Warriors,201103250GSW
2011,Golden State Warriors,201103270GSW
2011,Golden State Warriors,201103290OKC
2011,Golden State Warriors,201103300MEM
2011,Golden State Warriors,201104020GSW
2011,Golden State Warriors,201104050POR
2011,Golden State Warriors,201104060GSW
2011,Golden State Warriors,201104100GSW
2011,Golden State Warriors,201104110DEN
2011,Golden State Warriors,201104130GSW
2011,Miami Heat,201010260BOS
2011,Miami Heat,201010270PHI
2011,Miami Heat,201010290MIA
2011,Miami Heat,201010310NJN
2011,Miami Heat,201011020MIA
2011,Miami Heat,201011050NOH
2011,Miami Heat,201011060MIA
2011,Miami Heat,201011090MIA
2011,Miami Heat,201011110MIA
2011,Miami Heat,201011130MIA
2011,Miami Heat,201011170MIA
2011,Miami Heat,201011190MIA
2011,Miami Heat,201011200MEM
2011,Miami Heat,201011220MIA
2011,Miami Heat,201011240ORL
2011,Miami Heat,201011260MIA
2011,Miami Heat,201011270DAL
2011,Miami Heat,201011290MIA
2011,Miami Heat,201012010MIA
2011,Miami Heat,201012020CLE
